"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H1,H5,H6,H2,H8,H7,H3,H4";"HOLE_M2";8;"MountingHole_Pad";;;
2;"S33,S23";"STAB_MX_P_2u";2;"MX_stab";;;
3;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
4;"Reset1";"SW_SPST_B3U-1000P";1;"Switch";;;
5;"TRRS1";"TRRS_PJ-320A";1;"TRRS";;;
6;"U1";"RP2040_ProMicro_USBup";1;"RP2040_ProMicro";;;
7;"LED19,LED1,LED20,LED29,LED2,LED4,LED22,LED8,LED33,LED31,LED7,LED32,LED17,LED18,LED30,LED5,LED6,LED16,LED21,LED3";"LED_MX_6028R";20;"MX_SK6812MINI-E";;;
8;"D7,D19,D18,D20,D11,D15,D21,D29,D9,D12,D2,D23,D10,D5,D26,D31,D22,D34,D4,D3,D16,D8,D27,D13,D24,D6,D28,D1,D17,D14,D33,D30,D32,D25";"Diode_SOD-123";34;"Diode";;;
9;"LED15,LED23,LED34,LED28,LED10,LED24,LED11,LED13,LED12,LED14,LED25,LED27,LED9,LED26";"LED_MX_6028R-ROT";14;"MX_SK6812MINI-E";;;
10;"MX33,MX8,MX6,MX14,MX11,MX5,MX17,MX27,MX3,MX20,MX10,MX28,MX13,MX22,MX21,MX15,MX29,MX26,MX12,MX25,MX1,MX19,MX4,MX2,MX24,MX34,MX23,MX7,MX18";"SW_MX_HS_CPG151101S11_1u";29;"MX_SW_HS";;;
11;"C5,C24,C28,C33,C34,C16,C1,C13,C29,C31,C32,C6,C30,C8,C14,C21,C4,C17,C20,C22,C3,C25,C9,C23,C11,C2,C12,C27,C15,C26,C10,C7,C19,C18,C100";"C_0402_1005Metric";35;"100nF";;;
12;"MX32,MX30,MX31";"SW_MX_HS_CPG151101S11_1.25u";3;"MX_SW_HS";;;
13;"R2";"R_0805_2012Metric";1;"4.7K";;;
14;"U3";"SOT-23-5";1;"74AHCT1G125";;;
15;"MX16";"SW_MX_HS_CPG151101S11_1.75u";1;"MX_SW_HS";;;
16;"Q1";"SOT-23";1;"Q_PMOS_GSD";;;
17;"R1";"R_0805_2012Metric";1;"1K";;;
18;"MX9";"SW_MX_HS_CPG151101S11_1.5u";1;"MX_SW_HS";;;
