Designator,Mid X,Mid Y,Rotation,Layer
C1,143.866427,-116.970364,346.0,bottom
C10,191.116285,-126.263524,166.0,bottom
C100,283.46944,-105.111399,0.0,bottom
C11,210.83652,-124.558965,180.0,bottom
C12,229.836525,-122.358962,180.0,bottom
C13,249.036527,-124.558967,180.0,bottom
C14,268.036521,-127.158969,180.0,bottom
C15,126.346761,-142.491661,346.0,bottom
C16,155.394163,-153.36255,346.0,bottom
C17,180.809851,-147.025714,346.0,bottom
C18,200.659666,-142.169156,0.0,bottom
C19,219.709661,-139.883155,0.0,bottom
C2,162.350561,-112.361748,346.0,bottom
C20,238.759663,-142.169152,0.0,bottom
C21,257.80966,-144.645647,0.0,bottom
C22,120.736416,-162.003699,346.0,bottom
C23,163.408838,-172.541214,166.0,bottom
C24,190.965229,-165.670629,166.0,bottom
C25,210.836521,-162.758965,180.0,bottom
C26,229.83652,-160.358966,180.0,bottom
C27,249.036521,-162.758961,180.0,bottom
C28,268.036525,-165.158956,180.0,bottom
C29,116.090541,-202.428431,346.0,bottom
C3,180.834692,-107.75314,346.0,bottom
C30,159.990361,-191.482978,346.0,bottom
C31,212.565915,-180.269148,0.0,bottom
C32,236.378414,-180.269151,0.0,bottom
C33,267.334666,-182.745649,0.0,bottom
C34,287.034731,-165.241452,180.0,bottom
C4,200.659666,-104.069147,0.0,bottom
C5,219.709661,-101.783147,0.0,bottom
C6,238.759665,-104.069151,0.0,bottom
C7,257.809664,-106.545649,0.0,bottom
C8,97.656089,-128.49189,346.0,bottom
C9,168.139679,-131.992238,166.0,bottom
D1,155.536821,-106.047938,256.0,bottom
D10,192.492664,-116.466996,256.0,bottom
D11,214.62578,-115.344484,270.0,bottom
D12,233.675773,-113.058479,270.0,bottom
D13,252.725773,-115.344475,270.0,bottom
D14,271.77577,-117.820983,270.0,bottom
D15,127.798193,-132.597132,256.0,bottom
D16,167.06456,-142.440121,256.0,bottom
D17,192.480243,-136.10328,256.0,bottom
D18,214.625776,-134.394484,270.0,bottom
D19,233.675768,-132.108483,270.0,bottom
D2,174.020948,-101.439322,256.0,bottom
D20,252.725772,-134.394482,270.0,bottom
D21,271.775777,-136.870987,270.0,bottom
D22,132.40681,-151.081265,256.0,bottom
D23,164.741619,-162.652484,256.0,bottom
D24,192.467821,-155.739569,256.0,bottom
D25,214.62577,-153.444478,270.0,bottom
D26,233.675773,-151.158486,270.0,bottom
D27,252.725773,-153.444481,270.0,bottom
D28,271.775774,-155.920982,270.0,bottom
D29,127.760929,-191.505993,256.0,bottom
D3,192.505087,-96.830708,256.0,bottom
D30,171.66075,-180.56054,256.0,bottom
D31,226.532021,-172.494486,270.0,bottom
D32,250.344521,-172.494485,270.0,bottom
D33,281.300767,-174.970978,270.0,bottom
D34,290.825779,-155.920983,270.0,bottom
D4,214.625765,-96.29448,270.0,bottom
D5,233.675768,-94.008486,270.0,bottom
D6,252.725774,-96.294487,270.0,bottom
D7,271.77577,-98.770979,270.0,bottom
D8,109.326486,-117.569462,256.0,bottom
D9,169.387502,-122.227758,256.0,bottom
ESD1,298.34652,-112.246216,135.0,bottom
H1,269.883905,-111.733958,0.0,top
H2,193.922735,-110.886642,0.0,top
H3,116.315923,-127.884296,0.0,top
H4,129.367341,-184.832103,0.0,top
H5,173.152517,-134.648857,0.0,top
H6,197.017942,-167.284063,0.0,top
H7,253.374021,-148.595713,0.0,top
H8,296.236525,-159.358967,0.0,top
J1,287.734022,-130.768968,270.0,top
LED1,148.984425,-116.460372,346.0,bottom
LED10,185.940273,-126.879433,346.0,bottom
LED11,205.749016,-123.862459,0.0,bottom
LED12,224.799019,-121.576457,0.0,bottom
LED13,243.84902,-123.862457,0.0,bottom
LED14,262.899018,-126.33896,0.0,bottom
LED15,121.245804,-143.009574,346.0,bottom
LED16,160.512163,-152.852554,346.0,bottom
LED17,185.927852,-146.515712,346.0,bottom
LED18,205.749023,-142.912456,0.0,bottom
LED19,224.799018,-140.626461,0.0,bottom
LED2,167.468555,-111.851753,346.0,bottom
LED20,243.84902,-142.912459,0.0,bottom
LED21,262.899023,-145.388956,0.0,bottom
LED22,125.854419,-161.493704,346.0,bottom
LED23,158.18923,-173.064922,346.0,bottom
LED24,185.915431,-166.152009,346.0,bottom
LED25,205.749018,-161.962459,0.0,bottom
LED26,224.79902,-159.676461,0.0,bottom
LED27,243.84902,-161.962463,0.0,bottom
LED28,262.899019,-164.438959,0.0,bottom
LED29,121.208539,-201.918432,346.0,bottom
LED3,185.952691,-107.243146,346.0,bottom
LED30,165.108351,-190.97298,346.0,bottom
LED31,217.655266,-181.012461,0.0,bottom
LED32,241.467771,-181.012453,0.0,bottom
LED33,272.424016,-183.488957,0.0,bottom
LED34,281.94902,-164.438963,0.0,bottom
LED4,205.749015,-104.812464,0.0,bottom
LED5,224.799017,-102.526453,0.0,bottom
LED6,243.849021,-104.812464,0.0,bottom
LED7,262.899018,-107.288959,0.0,bottom
LED8,102.77409,-127.981898,346.0,bottom
LED9,162.835109,-132.640192,346.0,bottom
MX1,147.755469,-111.531268,346.0,bottom
MX10,184.711313,-121.95033,346.0,bottom
MX11,205.749024,-118.782463,0.0,bottom
MX12,224.799023,-116.496464,0.0,bottom
MX13,243.84902,-118.782464,0.0,bottom
MX14,262.899021,-121.258961,0.0,bottom
MX15,120.016847,-138.080478,346.0,bottom
MX16,159.283211,-147.923461,346.0,bottom
MX17,184.698891,-141.58662,346.0,bottom
MX18,205.749026,-137.832462,0.0,bottom
MX19,224.799024,-135.546465,0.0,bottom
MX2,166.239601,-106.92266,346.0,bottom
MX20,243.849023,-137.832461,0.0,bottom
MX21,262.899024,-140.308964,0.0,bottom
MX22,124.625459,-156.564608,346.0,bottom
MX23,156.960271,-168.135825,346.0,bottom
MX24,184.686468,-161.222904,346.0,bottom
MX25,205.74902,-156.882464,0.0,bottom
MX26,224.799019,-154.596462,0.0,bottom
MX27,243.849022,-156.882468,0.0,bottom
MX28,262.899024,-159.358966,0.0,bottom
MX29,119.979579,-196.989342,346.0,bottom
MX3,184.723731,-102.314049,346.0,bottom
MX30,163.879399,-186.043874,346.0,bottom
MX31,217.655272,-175.93246,0.0,bottom
MX32,241.467775,-175.932464,0.0,bottom
MX33,272.42402,-178.40896,0.0,bottom
MX34,281.94902,-159.358964,0.0,bottom
MX4,205.74902,-99.732457,0.0,bottom
MX5,224.799019,-97.446464,0.0,bottom
MX6,243.849023,-99.732471,0.0,bottom
MX7,262.899021,-102.208966,0.0,bottom
MX8,101.545131,-123.052801,346.0,bottom
MX9,161.606151,-127.7111,346.0,bottom
Q1,114.297241,-118.690624,166.0,bottom
R1,113.286635,-114.637301,346.0,bottom
R2,276.149025,-128.703966,90.0,bottom
U3,283.469443,-102.311397,270.0,bottom
