Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C4, C5, C6, C7, C8, C9",0402,35,100nF,C1525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D4, D5, D6, D7, D8, D9",Diode_SOD-123,34,Diode,C81598
ESD1,SOT-23-6-routable,1,SRV05-4,C558418
"H1, H2, H3, H4, H5, H6, H7, H8",HOLE_M2,8,MountingHole_Pad,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"LED1, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED29, LED3, LED30, LED31, LED32, LED33, LED4, LED5, LED6, LED7, LED8",LED_MX_6028R,20,MX_SK6812MINI-E,
"LED10, LED11, LED12, LED13, LED14, LED15, LED23, LED24, LED25, LED26, LED27, LED28, LED34, LED9",LED_MX_6028R-ROT,14,MX_SK6812MINI-E,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX33, MX34, MX4, MX5, MX6, MX7, MX8",SW_MX_HS_CPG151101S11_1u,29,MX_SW_HS,
MX16,SW_MX_HS_CPG151101S11_1.75u,1,MX_SW_HS,
"MX30, MX31, MX32",SW_MX_HS_CPG151101S11_1.25u,3,MX_SW_HS,
MX9,SW_MX_HS_CPG151101S11_1.5u,1,MX_SW_HS,
Q1,SOT-23,1,Q_PMOS_GSD,C133325
R1,0805,1,1K,C17513
R2,0805,1,4.7K,C17673
Reset1,SW_SPST_B3U-1000P,1,Switch,C231329
"S23, S33",STAB_MX_P_2u,2,MX_stab,
TRRS1,TRRS_PJ-320A,1,TRRS,
U3,SOT-23-5,1,74AHCT1G125,C7484
