Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C5, C6, C7, C8, C9",0402,40,100nF,C1525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D5, D6, D7, D8, D9",Diode_SOD-123,39,Diode,C81598
ESD1,SOT-23-6-routable,1,SRV05-4,C558418
"H1, H2, H3, H4, H5, H6, H7, H8",HOLE_M2,8,MountingHole_Pad,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"LED1, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED3, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED5, LED6, LED7, LED8",LED_MX_6028R-ROT,23,MX_SK6812MINI-E,
"LED10, LED11, LED12, LED13, LED14, LED15, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32, LED9",LED_MX_6028R,16,MX_SK6812MINI-E,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX37, MX38, MX39, MX4, MX5, MX6, MX7, MX9",SW_MX_HS_CPG151101S11_1u,33,MX_SW_HS,
"MX23, MX34, MX35, MX36",SW_MX_HS_CPG151101S11_1.25u,4,MX_SW_HS,
"MX24, MX8",SW_MX_HS_CPG151101S11_1.5u,2,MX_SW_HS,
R3,0805,1,4.7K,C25900
Reset1,SW_SPST_B3U-1000P,1,Switch,C231329
"S23, S33",STAB_MX_P_2.25u,2,MX_stab,
TRRS1,TRRS_PJ-320A,1,TRRS,
U2,SOT-23-5,1,74AHCT1G125,C7484
