Designator,Mid X,Mid Y,Rotation,Layer
C1,95.675817,-74.598035,180.0,bottom
C10,104.503061,-89.755496,0.0,bottom
C100,70.155088,-71.675606,0.0,bottom
C11,123.463064,-87.355497,0.0,bottom
C12,142.58306,-89.755496,0.0,bottom
C13,162.753092,-91.59509,14.0,bottom
C14,181.188713,-96.191607,14.0,bottom
C15,199.701953,-100.807479,14.0,bottom
C16,255.512783,-96.527189,194.0,bottom
C17,95.675811,-112.698034,180.0,bottom
C18,114.725812,-110.221536,180.0,bottom
C19,133.775814,-107.935531,180.0,bottom
C2,114.72581,-72.121533,180.0,bottom
C20,152.825812,-110.221537,180.0,bottom
C21,172.359016,-115.061008,194.0,bottom
C22,190.843156,-119.669615,194.0,bottom
C23,220.879877,-127.158613,194.0,bottom
C24,222.794991,-106.565218,14.0,bottom
C25,85.432179,-130.396862,0.0,bottom
C26,104.432171,-127.79686,0.0,bottom
C27,123.432176,-125.596862,0.0,bottom
C28,142.512172,-127.79686,0.0,bottom
C29,162.70414,-130.837502,14.0,bottom
C3,133.775809,-69.835534,180.0,bottom
C30,188.125888,-137.175856,14.0,bottom
C31,213.508824,-143.504531,14.0,bottom
C32,66.432176,-130.396859,0.0,bottom
C33,88.53206,-150.798036,180.0,bottom
C34,121.869562,-148.321535,180.0,bottom
C35,145.682063,-148.321533,180.0,bottom
C36,179.315417,-156.061811,194.0,bottom
C37,200.110061,-161.246495,194.0,bottom
C38,218.594197,-165.85511,194.0,bottom
C39,237.078331,-170.46372,194.0,bottom
C4,152.825811,-72.121536,180.0,bottom
C5,172.334177,-75.788434,194.0,bottom
C6,190.818316,-80.397046,194.0,bottom
C7,209.302443,-85.005654,194.0,bottom
C8,232.40761,-90.766423,194.0,bottom
C9,85.503065,-92.1555,0.0,bottom
D1,99.374503,-65.335065,270.0,bottom
D10,118.424502,-81.908563,270.0,bottom
D11,137.474498,-79.622565,270.0,bottom
D12,156.524496,-81.908562,270.0,bottom
D13,178.176328,-87.331692,284.0,bottom
D14,196.660468,-91.940298,284.0,bottom
D15,215.144598,-96.548917,284.0,bottom
D16,259.457845,-91.740269,104.0,bottom
D17,99.374495,-103.435068,270.0,bottom
D18,118.424497,-100.958563,270.0,bottom
D19,137.474501,-98.672563,270.0,bottom
D2,118.424497,-62.858563,270.0,bottom
D20,156.524499,-100.958565,270.0,bottom
D21,178.188758,-106.967981,284.0,bottom
D22,196.672884,-111.576593,284.0,bottom
D23,226.709608,-119.065584,284.0,bottom
D24,238.249769,-102.309677,284.0,bottom
D25,99.374499,-122.485063,270.0,bottom
D26,118.4245,-120.008563,270.0,bottom
D27,137.474498,-117.72256,270.0,bottom
D28,156.524498,-120.008565,270.0,bottom
D29,178.201176,-126.604265,284.0,bottom
D3,137.474497,-60.572563,270.0,bottom
D30,203.616862,-132.941107,284.0,bottom
D31,229.032543,-139.277948,284.0,bottom
D32,80.3245,-122.485064,270.0,bottom
D33,92.23075,-141.535063,270.0,bottom
D34,125.568252,-139.058563,270.0,bottom
D35,149.380745,-139.058564,270.0,bottom
D36,185.145157,-147.96878,284.0,bottom
D37,205.939801,-153.153471,284.0,bottom
D38,224.423926,-157.76208,284.0,bottom
D39,241.696601,-156.363004,284.0,bottom
D4,156.524506,-62.858565,270.0,bottom
D5,178.163907,-67.695403,284.0,bottom
D6,196.648043,-72.304014,284.0,bottom
D7,215.13218,-76.91263,284.0,bottom
D8,238.237342,-82.673394,284.0,bottom
D9,99.374499,-84.385063,270.0,bottom
ESD1,55.135247,-78.810288,135.0,bottom
H1,83.497749,-78.298031,0.0,top
H2,159.474032,-77.450718,0.0,top
H3,237.08085,-94.448373,0.0,top
H4,224.029427,-151.39618,0.0,top
H5,180.184294,-101.029973,0.0,top
H6,156.378832,-133.848134,0.0,top
H7,100.022748,-115.159783,0.0,top
H8,57.160246,-125.923039,0.0,top
J1,65.757752,-97.333035,90.0,top
LED1,90.497745,-73.853037,0.0,bottom
LED10,109.54775,-90.426533,0.0,bottom
LED11,128.597747,-88.140533,0.0,bottom
LED12,147.647751,-90.426533,0.0,bottom
LED13,167.502578,-93.449163,14.0,bottom
LED14,185.986712,-98.05777,14.0,bottom
LED15,204.470849,-102.666383,14.0,bottom
LED16,250.668762,-94.551632,14.0,bottom
LED17,90.497748,-111.953037,0.0,bottom
LED18,109.547744,-109.476536,0.0,bottom
LED19,128.597748,-107.190533,0.0,bottom
LED2,109.547751,-71.376535,0.0,bottom
LED20,147.647748,-109.476534,0.0,bottom
LED21,167.515006,-113.085452,14.0,bottom
LED22,185.999133,-117.694061,14.0,bottom
LED23,216.035851,-125.183053,14.0,bottom
LED24,227.576013,-108.427152,14.0,bottom
LED25,90.497743,-131.003036,0.0,bottom
LED26,109.547746,-128.526537,0.0,bottom
LED27,128.597751,-126.240535,0.0,bottom
LED28,147.647745,-128.526538,0.0,bottom
LED29,167.527417,-132.721733,14.0,bottom
LED3,128.597742,-69.090532,0.0,bottom
LED30,192.943107,-139.058577,14.0,bottom
LED31,218.358789,-145.395421,14.0,bottom
LED32,71.447746,-131.003029,0.0,bottom
LED33,83.354001,-150.053037,0.0,bottom
LED34,116.691498,-147.576536,0.0,bottom
LED35,140.503998,-147.576532,0.0,bottom
LED36,174.471394,-154.086251,14.0,bottom
LED37,195.266047,-159.270939,14.0,bottom
LED38,213.750181,-163.879557,14.0,bottom
LED39,232.234316,-168.48816,14.0,bottom
LED4,147.647749,-71.376538,0.0,bottom
LED5,167.490156,-73.81288,14.0,bottom
LED6,185.974293,-78.421484,14.0,bottom
LED7,204.458423,-83.030098,14.0,bottom
LED8,227.563595,-88.790865,14.0,bottom
LED9,90.497748,-92.903033,0.0,bottom
MX1,90.497752,-68.773038,0.0,bottom
MX10,109.54775,-85.346534,0.0,bottom
MX11,128.597749,-83.060538,0.0,bottom
MX12,147.647751,-85.346537,0.0,bottom
MX13,168.73154,-88.520063,14.0,bottom
MX14,187.215676,-93.128673,14.0,bottom
MX15,205.699814,-97.737283,14.0,bottom
MX16,251.897725,-89.622528,14.0,bottom
MX17,90.497742,-106.87304,0.0,bottom
MX18,109.547744,-104.396535,0.0,bottom
MX19,128.597749,-102.110534,0.0,bottom
MX2,109.547748,-66.296536,0.0,bottom
MX20,147.647749,-104.396536,0.0,bottom
MX21,168.743963,-108.156349,14.0,bottom
MX22,187.228097,-112.764964,14.0,bottom
MX23,217.264814,-120.253957,14.0,bottom
MX24,228.804977,-103.498049,14.0,bottom
MX25,90.497749,-125.923035,0.0,bottom
MX26,109.547746,-123.446536,0.0,bottom
MX27,128.59775,-121.160535,0.0,bottom
MX28,147.64775,-123.446534,0.0,bottom
MX29,168.756387,-127.79264,14.0,bottom
MX3,128.597746,-64.010538,0.0,bottom
MX30,194.172063,-134.129479,14.0,bottom
MX31,219.587752,-140.466318,14.0,bottom
MX32,71.447745,-125.923037,0.0,bottom
MX33,83.354003,-144.973038,0.0,bottom
MX34,116.691502,-142.496534,0.0,bottom
MX35,140.504,-142.496537,0.0,bottom
MX36,175.700359,-149.157153,14.0,bottom
